Corporation;52WeekLow;52WeekHigh;ShortRatio;ShortPercent;PriceToEarningsRatio;PriceToBookRatio;ShareYield;50DayMovingAverage;200DayMovingAverage;Country;OperativeMarge;BETA;EmployeeCount
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NationalStorageAffiliatesTrust;18.7427;37.0483;12.98;0.8182;75.6933;3.4077;0.0389;34.8471;32.9591;United States;0.3256;0.3801;459
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#UniversalInsuranceHoldings,Inc;11.7394;26.1276;3.64;0.0;46.3056;0.9735;0.0424;14.5841;16.0073;United States;-0.0169;1.0079;805
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#TheTravelersCompanies,Inc;75.4302;140.54;4.74;0.3804;15.9966;1.2597;0.0242;135.8926;120.9481;United States;0.0959;0.7617;30800
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#ArchResources,Inc;21.8;76.2199;5.73;1.2281;41.0088;1.8857;0.077;33.75;35.1577;United States;-0.1331;1.0957;3400
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#VersoCorporation;7.3006;14.9344;2.12;0.9041;3.2148;0.5483;0.0333;11.4773;11.0937;United States;-0.0215;2.1639;3700
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#BoiseCascadeCompany;19.225;50.325;3.35;0.4223;11.5153;2.4962;0.0082;45.5003;42.7212;United States;0.0539;2.1685;5900
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Evergy,Inc;40.8485;71.5817;4.6;0.6529;20.0978;1.3769;0.0386;54.8794;55.7351;United States;0.23399999999999999;0.3507;4617
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NorfolkSouthernCorporation;110.9709;247.98;1.99;0.41;30.6001;3.9844;0.0158;237.1482;210.6949;United States;0.3482;1.4079;24587
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#BostonProperties,Inc;68.9579;141.4277;3.21;0.5773;14.7657;2.4658;0.0415;98.1406;88.6655;United States;0.3301;1.2604;760
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#AlamoGroupInc;70.7214;145.35;2.2;0.092;27.5041;2.6518;0.0038;132.8218;113.45200000000001;United States;0.0878;0.9816;4270
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ArconicCorporation;5.8;31.59;2.79;0.0;19.3299;2.2429;0.0064;27.2465;20.8975;United States;0.0419;2.23;15400
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#GraphicPackagingHoldingCompany;10.2449;17.07;1.82;0.28300000000000003;36.1194;3.2112;0.0177;16.0168;14.5813;United States;0.0648;1.1927;18000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NaviosMaritimeAcquisitionCorporation;1.8796;7.6387;0.13;0.2849;1.1718;0.163;0.3074;3.6694;4.2324;Monaco;0.3574;2.2226;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#HCIGroup,Inc;30.84;61.0104;7.81;0.4255;13.5879;2.0422;0.0306;52.1865;50.1074;United States;0.067;0.6961;413
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#WeisMarkets,Inc;32.3967;58.6423;21.74;0.2549;10.8634;1.1158;0.0259;48.0345;48.6038;United States;0.0397;0.1627;24000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#AlamosGoldInc;3.321;11.5364;1.07;0.1912;34.4231;1.2690000000000001;0.0067;8.8912;9.2748;Canada;0.2748;1.1722;1700
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ValeS.A;6.2238;17.46;2.16;0.3101;144.4828;2.5115;0.040999999999999995;15.3138;12.1239;Brazil;0.0;0.894;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#FirstEnergyCorp;26.17;50.6337;2.43;0.5954;22.8263;2.2404;0.051;29.1368;31.3843;United States;0.1198;0.1486;12000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#GriffonCorporation;9.0408;24.8457;2.26;0.2607;17.125999999999998;1.6342;0.015;20.4306;20.7759;United States;0.0721;2.0294;7400
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#SpiritRealtyCapital,Inc;17.0435;50.6853;7.16;0.9191;53.2857;1.4539;0.0619;38.7827;35.4986;United States;0.4879;1.1743;85
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Cleveland-CliffsInc;2.5885;14.72;4.01;3.0;137.8333;8.0043;0.0345;12.0944;7.8734;United States;0.0411;2.2483;2372
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#HudsonPacificProperties,Inc;15.6662;37.177;4.1;0.495;169.1549;1.1957;0.0416;25.5897;23.6868;United States;0.1782;1.031;347
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#MPLXLP;6.1236;23.94;5.96;1.1465;12.33;1.6367;0.1276;21.8909;18.8254;United States;0.385;1.9895;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#AMETEK,Inc;54.5277;121.4986;1.69;0.1823;31.3175;4.7746;0.0061;113.5691;100.8839;United States;0.2249;1.3696;18100
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#nVentElectricPlc;10.2383;27.9404;1.95;0.4516;22.0795;1.6706;0.0301;22.9582;19.8031;United Kingdom;0.1254;1.5215;9500
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Avangrid,Inc;34.6137;55.662;3.95;0.8224;21.8447;0.9112;0.0389;48.4394;48.0171;United States;0.1313;0.2261;6600
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#KBHome;9.7119;41.9917;2.82;0.209;10.0721;1.3376;0.0179;34.8524;35.1664;United States;0.0931;1.9444;2140
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#SMEnergyCompany;0.8886;12.243;1.32;0.0;19.6;0.3157;0.0033;4.8638;3.1671;United States;-0.8053;6.6063;530
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#DouglasEmmett,Inc;22.265;43.8282;4.63;0.5895;16.542;2.1145;0.0388;30.9953;28.5189;United States;0.237;0.8992;713
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Guess',Inc;3.5861;23.2309;7.91;0.0;28.98;2.7689;0.0199;18.1241;13.3163;United States;0.0332;2.0189;15800
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Tiffany&Co;101.8839;131.8244;2.8;0.8593;55.652;4.8741;0.0176;131.3321;124.4236;United States;0.1227;0.7622;14100
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#EmersonElectricCo;36.8838;83.14;2.99;0.5795;24.8056;5.6966;0.0251;78.9424;69.3726;United States;0.1697;1.547;83500
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#OrionEngineeredCarbonsS.A;5.93;19.4258;1.78;0.1887;37.18;6.3;0.1185;15.7288;13.3622;United States;0.0737;1.7575;1425
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#WeingartenRealtyInvestors;11.6762;29.4887;2.69;0.5143;16.9828;1.6546;0.0332;21.8906;18.6651;United States;0.2499;1.5176;239
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#PerspectaInc;13.8976;29.092;4.39;0.1286;43.2414;2.8266;0.0117;23.1744;21.4714;United States;0.0516;1.4669;14000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#SealedAirCorporation;16.852999999999998;46.41;1.95;0.2071;15.3606;291.9414;0.013999999999999999;45.0024;39.9329;United States;0.1619;1.2236;16500
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#AonPlc;142.9015;236.4881;10.94;0.1835;26.3028;13.1742;0.009000000000000001;200.363;199.5789;United Kingdom;0.2875;0.8352;50000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#DineBrandsGlobal,Inc;13.527000000000001;99.7948;3.16;0.2405;7.2957;0.0;0.0656;64.0829;54.6212;United States;0.1705;2.052;558
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TheTimkenCompany;21.901999999999997;78.51;1.7;0.2756;17.0999;2.8097;0.015;74.6803;58.5298;United States;0.1471;1.7869;17000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#M.D.C.Holdings,Inc;15.3194;52.4;2.6;0.2908;10.1504;1.6631;0.0329;48.5824;44.6647;United States;0.1058;1.5433;1656
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#SaulCenters,Inc;22.7416;54.2978;2.16;0.7544;25.5278;4.1563;0.0668;32.1959;29.5949;United States;0.4375;1.0525;116
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#MillerIndustries,Inc;24.8306;38.47;3.71;0.337;14.7022;1.5421;0.0189;35.1388;31.3856;United States;0.0577;0.9984;1310
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#TheGreenbrierCompanies,Inc;12.4264;37.99;15.13;0.6467;24.9178;0.9471;0.0297;34.9047;29.3651;United States;0.0532;1.5864;10600
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#SchneiderNational,Inc;13.9489;25.6161;3.06;1.8602;19.2379;1.5906;0.0126;21.0918;24.0574;United States;0.0676;0.9724;15650
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#PentairPlc;21.6977;58.82;2.65;0.3092;25.2689;4.2678;0.0151;52.2465;46.5698;United Kingdom;0.1546;1.1843;9500
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#BrightSphereInvestmentGroupInc;3.6018;19.77;1.94;0.073;10.2717;13.6106;0.0021;18.6415;14.6422;United States;0.3982;1.9003;54
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Williams-Sonoma,Inc;25.4939;114.65;4.86;0.2794;14.9347;5.8827;0.0208;106.7621;94.7496;United States;0.1182;1.7024;11600
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#FirstIndustrialRealtyTrust,Inc;25.2079;44.9051;1.55;0.5405;25.7204;2.9067;0.0237;41.8671;41.2965;United States;0.3773;0.863;155
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#GlobeLifeInc;56.3018;110.5693;2.7;0.1098;13.9034;1.2084;0.0079;93.9121;83.6408;United States;0.2079;1.1402;3196
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#SouthwestAirlinesCo;22.465;58.6045;1.85;0.0;108.4118;2.7964;0.0213;46.3135;39.0133;United States;-0.0664;1.242;57931
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NaviosMaritimePartnersL.P;3.8525;16.5742;1.4;0.8434;203.1756;0.1545;0.0205;8.4488;7.4081;Monaco;0.1337;2.5039;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#UDR,Inc;28.043000000000003;49.2195;3.43;0.6890000000000001;86.7494;3.363;0.0375;38.7335;35.9558;United States;0.1201;0.757;1330
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Valhi,Inc;8.9227;20.9047;0.89;0.3764;10.7801;0.7314;0.0211;16.2215;13.2277;United States;0.0598;1.9307;2775
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#MaterionCorporation;25.9866;64.23;3.91;0.2116;53.0116;2.0843;0.0072;60.5394;57.1977;United States;0.04;1.464;2600
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NordicAmericanTankersLimited;2.1021;8.2259;3.26;0.7258;4.7581;0.7579;0.0542;3.2297;3.7741;Bermuda;0.2992;0.653;20
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Watsco,Inc;136.0771;248.98;12.61;1.0394;34.2667;6.05;0.0313;228.8303;223.1428;United States;0.0748;0.727;5700
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#JuniperNetworks,Inc;14.812000000000001;26.0317;6.57;0.5031;19.0763;1.6195;0.0355;22.0779;22.7959;United States;0.1049;0.9034;9916
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ZoetisInc;89.756;176.64;2.12;0.2202;47.6945;21.2063;0.006;161.697;156.378;United States;0.3623;0.6724;10600
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#WheatonPreciousMetalsCorp;18.4607;57.6022;3.28;0.4482;43.9368;3.4331;0.0115;41.5697;47.2726;Canada;0.4399;0.3918;39
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#IntercontinentalExchange,Inc;62.9409;115.4;1.87;0.2771;31.7778;3.3253;0.0104;107.89299999999999;100.5242;United States;0.5317;0.6693;8445
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#TheCooperCompanies,Inc;236.6507;365.6424;2.52;0.0062;75.5343;4.603;0.0002;342.8723;322.0167;United States;0.1653;0.8241;12000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#WestlakeChemicalPartnersLP;9.5746;24.2;1.64;0.9670000000000001;12.2445;2.8003;0.0791;21.3659;20.0017;United States;0.3734;1.126;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#SystemaxInc;13.0112;37.0;0.87;1.5316;22.4453;8.0678;0.0158;33.3803;25.2249;United States;0.0804;0.7312;1430
