issuer;shortRatioAmount;betaAmount;shortPercentAmount;lowAmount;highAmount;Low-High-Ratio;cluster
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;4.25;0.7895;0.3658;44.3638;83.01;0.5344392241898566;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;1.14;0.7895;0.3657;40.7114;83.01;0.4904397060595108;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;4.25;0.7895;0.3657;40.7114;83.01;0.4904397060595108;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;1.14;0.7895;0.3658;40.7114;83.01;0.4904397060595108;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;4.25;0.7895;0.3658;40.7114;83.01;0.4904397060595108;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#MillerIndustries,Inc;3.71;0.9984;0.337;24.8306;38.47;0.6454536002079543;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#ArthurJ.Gallagher&Co;1.37;0.7081;0.4063;64.27;121.27;0.529974437206234;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#O-IGlass,Inc;3.53;1.8021;0.0376;4.305;14.9579;0.2878077805039477;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#FederalRealtyInvestmentTrust;2.42;1.085;0.8491;61.7532;125.4485;0.4922593733683544;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#WhitestoneREIT;2.12;1.4136;0.1474;4.5332;13.0281;0.3479555729538459;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#DominionEnergy,Inc;0.25;0.3155;2.3463;71.9854;107.907;0.6671059338133762;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#GeneralMotorsCompany;1.11;1.4672;0.1267;14.33;46.71;0.30678655534146865;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#VEREIT,Inc;1.67;1.0898;0.6053;16.7156;47.8666;0.34921218553229183;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#SpiritRealtyCapital,Inc;7.16;1.1743;0.9191;17.0435;50.6853;0.33626120393881465;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#EnableMidstreamPartners,LP;1.53;2.6567;1.2788;1.4543;9.4082;0.15457792138772558;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#BPMidstreamPartnersLP;0.81;1.2691;0.8476;5.9151;15.1656;0.3900340243709448;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TsakosEnergyNavigationLimited;2.71;0.6346;0.086;6.9694;22.8433;0.3050960237794014;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#NationalRetailProperties,Inc;2.19;0.6934;0.7753;22.9414;56.1794;0.4083596478424476;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#KornFerry;2.25;1.6189;0.2353;21.1587;45.86;0.4613759267335368;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#VersoCorporation;2.12;2.1639;0.9041;7.3006;14.9344;0.4888445468180844;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#KBR,Inc;6.62;1.4079;0.2381;11.8598;31.3573;0.3782149611095344;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TheAESCorporation;1.83;0.8378;0.4376;7.8957;22.32;0.35375;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TheJ.M.SmuckerCompany;6.94;0.2614;0.3678;89.7893;122.7617;0.7314113440918462;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#PhysiciansRealtyTrust;4.24;0.7339;0.8679;10.5489;20.13;0.5240387481371088;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#DXCTechnologyCompany;2.92;2.4294;0.0636;7.7469;36.2537;0.2136857755208434;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#EatonVanceCorp;2.3;1.2299;1.5997;21.5489;68.19;0.31601261181991497;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#InterContinentalHotelsGroupPLC;2.76;0.9204;0.0;25.1175;67.44;0.3724421708185053;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#KosmosEnergyLtd;2.42;3.7643;0.0;0.5;6.6747;0.07490973377080619;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#MovadoGroup,Inc;6.74;1.0751;0.0;8.12;21.2;0.3830188679245283;0
